Level,Date and Time,Source,Event ID,Task Category,Log,Computer
Error,10/6/2017 8:19:35 AM,Application Error,1000,(100),Application,djkvdihost310.jakarta01.com,"Faulting application name: iexplore.exe, version: 11.0.9600.18639, time stamp: 0x58d6bb0d
Faulting module name: MSHTML.dll, version: 11.0.9600.18639, time stamp: 0x58d6c720
Exception code: 0xc0000005
Fault offset: 0x000ac604
Faulting process id: 0x718
Faulting application start time: 0x01d33e400aad2ed2
Faulting application path: C:\Program Files\Internet Explorer\iexplore.exe
Faulting module path: C:\Windows\system32\MSHTML.dll
Report Id: 69da0438-aa34-11e7-99ee-0050569f76c4"
Error,10/6/2017 8:19:35 AM,EventCreate,1,None,Application,djkvdihost571.jakarta01.com,JAKARTA01\brenda  
Error,10/6/2017 8:19:31 AM,Application Error,1000,(100),Application,djkvdihost571.jakarta01.com,"Faulting application name: spoolsv.exe, version: 6.1.7601.17777, time stamp: 0x4f35efc3
Faulting module name: msvcrt.dll, version: 7.0.7601.17744, time stamp: 0x4eeaf722
Exception code: 0xc0000005
Fault offset: 0x0000aa14
Faulting process id: 0x63c
Faulting application start time: 0x01d33e40f0d1757c
Faulting application path: C:\Windows\System32\spoolsv.exe
Faulting module path: C:\Windows\system32\msvcrt.dll
Report Id: 677ec820-aa34-11e7-8eca-0050569f678d"
Error,10/6/2017 8:20:01 AM,EventCreate,1,None,Application,djkvdihost005.jakarta01.com,JAKARTA01\Arfilia  
Error,10/6/2017 8:19:46 AM,EventCreate,1,None,Application,djkvdihost108.jakarta01.com,JAKARTA01\sari  
Error,10/6/2017 8:19:35 AM,EventCreate,1,None,Application,djkvdihost410.jakarta01.com,JAKARTA01\astio  
Error,10/6/2017 8:18:49 AM,EventCreate,1,None,Application,djkvdihost455.jakarta01.com,JAKARTA01\ibahtiar  
Error,10/6/2017 8:19:09 AM,EventCreate,1,None,Application,djkvdihost571.jakarta01.com,JAKARTA01\brenda  
Error,10/6/2017 8:18:57 AM,EventCreate,1,None,Application,djkvdihost674.jakarta01.com,JAKARTA01\gerald  
Error,10/6/2017 8:18:46 AM,EventCreate,1,None,Application,djkvdihost103.jakarta01.com,JAKARTA01\janna  
Error,10/6/2017 8:18:37 AM,EventCreate,1,None,Application,djkvdihost258.jakarta01.com,JAKARTA01\nora  
Error,10/6/2017 8:17:56 AM,EventCreate,1,None,Application,djkvdihost698.jakarta01.com,JAKARTA01\diah dwi  
